timestamp,open,high,low,close,volume
2018-07-06 16:00:00,101.1800,101.2500,101.1000,101.1600,3036619
2018-07-06 15:59:00,101.1400,101.1900,101.1350,101.1700,179669
2018-07-06 15:58:00,101.1550,101.1900,101.1100,101.1400,104014
2018-07-06 15:57:00,101.1207,101.1850,101.0750,101.1600,124452
2018-07-06 15:56:00,101.1050,101.1500,101.0800,101.1200,118824
2018-07-06 15:55:00,101.1300,101.1400,101.0700,101.1050,74185
2018-07-06 15:54:00,101.0500,101.1500,101.0500,101.1300,73015
2018-07-06 15:53:00,101.0648,101.0650,101.0000,101.0500,89813
2018-07-06 15:52:00,100.9650,101.0750,100.9650,101.0650,77558
2018-07-06 15:51:00,100.8200,100.9800,100.8200,100.9700,153437
2018-07-06 15:50:00,100.9600,100.9700,100.7100,100.8200,195250
2018-07-06 15:49:00,100.9850,100.9900,100.9550,100.9600,22096
2018-07-06 15:48:00,101.0400,101.0700,101.0200,101.0250,37218
2018-07-06 15:47:00,101.0500,101.0600,101.0100,101.0400,89512
2018-07-06 15:46:00,101.0500,101.0900,100.9915,101.0400,101057
2018-07-06 15:45:00,101.1100,101.1300,101.0400,101.0400,50838
2018-07-06 15:44:00,101.1000,101.1330,101.0950,101.1152,37001
2018-07-06 15:43:00,101.1672,101.1800,101.1000,101.1000,35706
2018-07-06 15:42:00,101.2100,101.2150,101.1390,101.1650,39511
2018-07-06 15:41:00,101.2500,101.2700,101.1850,101.2100,58768
2018-07-06 15:40:00,101.2448,101.2950,101.2400,101.2448,35879
2018-07-06 15:39:00,101.2700,101.2700,101.2350,101.2450,17005
2018-07-06 15:38:00,101.2800,101.2900,101.2300,101.2700,44875
2018-07-06 15:37:00,101.2700,101.2800,101.2500,101.2800,23028
2018-07-06 15:36:00,101.3000,101.3300,101.2700,101.2800,33697
2018-07-06 15:35:00,101.3450,101.3500,101.2843,101.3000,33494
2018-07-06 15:34:00,101.3500,101.3800,101.3400,101.3450,48320
2018-07-06 15:33:00,101.3900,101.4100,101.3600,101.3600,32114
2018-07-06 15:32:00,101.4000,101.4300,101.3900,101.4000,55019
2018-07-06 15:31:00,101.4050,101.4200,101.3900,101.4050,24811
2018-07-06 15:30:00,101.3800,101.4100,101.3745,101.4000,42493
2018-07-06 15:29:00,101.4000,101.4000,101.3500,101.3700,29750
2018-07-06 15:28:00,101.3800,101.4200,101.3800,101.3900,30333
2018-07-06 15:27:00,101.3640,101.4100,101.3500,101.3800,67266
2018-07-06 15:26:00,101.3300,101.3700,101.3250,101.3700,44109
2018-07-06 15:25:00,101.2900,101.3300,101.2900,101.3300,20143
2018-07-06 15:24:00,101.2900,101.3000,101.2550,101.2900,27449
2018-07-06 15:23:00,101.3100,101.3200,101.2800,101.2999,10999
2018-07-06 15:22:00,101.3000,101.3500,101.2900,101.3000,58252
2018-07-06 15:21:00,101.2729,101.3099,101.2700,101.3000,21576
2018-07-06 15:20:00,101.2500,101.2800,101.2450,101.2700,18695
2018-07-06 15:19:00,101.2200,101.2700,101.2200,101.2460,11636
2018-07-06 15:18:00,101.2550,101.2600,101.2000,101.2150,26999
2018-07-06 15:17:00,101.2252,101.2500,101.2100,101.2500,16822
2018-07-06 15:16:00,101.2200,101.2600,101.2200,101.2200,14557
2018-07-06 15:15:00,101.2600,101.2700,101.2200,101.2200,21148
2018-07-06 15:14:00,101.2100,101.2600,101.2100,101.2600,17093
2018-07-06 15:13:00,101.1900,101.2100,101.1800,101.2100,24040
2018-07-06 15:12:00,101.2200,101.2650,101.1950,101.1950,38765
2018-07-06 15:11:00,101.2400,101.2400,101.2000,101.2200,26663
2018-07-06 15:10:00,101.2200,101.2700,101.2200,101.2301,48265
2018-07-06 15:09:00,101.2100,101.2200,101.2050,101.2100,16466
2018-07-06 15:08:00,101.1650,101.2200,101.1650,101.2200,29334
2018-07-06 15:07:00,101.1350,101.1800,101.1350,101.1700,50276
2018-07-06 15:06:00,101.1200,101.1400,101.1200,101.1350,22983
2018-07-06 15:05:00,101.1100,101.1400,101.1000,101.1250,56940
2018-07-06 15:04:00,101.1100,101.1200,101.0900,101.1000,44501
2018-07-06 15:03:00,101.1150,101.1200,101.1000,101.1050,36402
2018-07-06 15:02:00,101.1100,101.1200,101.1100,101.1150,27208
2018-07-06 15:01:00,101.0950,101.1200,101.0900,101.1150,15675
2018-07-06 15:00:00,101.1200,101.1200,101.0900,101.0900,35577
2018-07-06 14:59:00,101.1100,101.1200,101.1100,101.1150,18218
2018-07-06 14:58:00,101.1250,101.1400,101.1000,101.1150,35681
2018-07-06 14:57:00,101.1250,101.1400,101.1200,101.1250,39524
2018-07-06 14:56:00,101.0800,101.1300,101.0800,101.1205,30813
2018-07-06 14:55:00,101.0750,101.0850,101.0500,101.0800,17723
2018-07-06 14:54:00,101.1050,101.1070,101.0600,101.0700,33429
2018-07-06 14:53:00,101.1000,101.1052,101.0800,101.1000,9552
2018-07-06 14:52:00,101.0900,101.1200,101.0850,101.1050,24254
2018-07-06 14:51:00,101.1050,101.1200,101.0800,101.0900,20426
2018-07-06 14:50:00,101.1050,101.1200,101.1000,101.1100,13118
2018-07-06 14:49:00,101.0800,101.1100,101.0800,101.1085,16779
2018-07-06 14:48:00,101.0900,101.0950,101.0800,101.0844,7864
2018-07-06 14:47:00,101.0848,101.0910,101.0700,101.0800,14362
2018-07-06 14:46:00,101.0700,101.0999,101.0650,101.0850,19312
2018-07-06 14:45:00,101.0450,101.0700,101.0400,101.0700,8511
2018-07-06 14:44:00,101.0400,101.0560,101.0300,101.0500,15819
2018-07-06 14:43:00,100.9950,101.0500,100.9950,101.0500,10114
2018-07-06 14:42:00,100.9900,101.0000,100.9800,101.0000,17155
2018-07-06 14:41:00,100.9601,101.0000,100.9600,100.9900,13643
2018-07-06 14:40:00,100.9900,101.0100,100.9650,100.9700,25902
2018-07-06 14:39:00,100.9910,101.0000,100.9900,101.0000,7491
2018-07-06 14:38:00,101.0200,101.0300,100.9800,100.9900,24566
2018-07-06 14:37:00,101.0350,101.0500,101.0100,101.0150,25618
2018-07-06 14:36:00,101.0400,101.0500,101.0300,101.0300,10280
2018-07-06 14:35:00,101.0500,101.0600,101.0400,101.0400,13557
2018-07-06 14:34:00,101.0300,101.0550,101.0200,101.0510,11590
2018-07-06 14:33:00,101.0450,101.0650,101.0200,101.0350,17857
2018-07-06 14:32:00,101.0500,101.0650,101.0450,101.0500,18541
2018-07-06 14:31:00,101.0500,101.0500,101.0250,101.0500,16842
2018-07-06 14:30:00,101.0499,101.0600,101.0450,101.0500,14215
2018-07-06 14:29:00,101.0600,101.0800,101.0400,101.0455,12343
2018-07-06 14:28:00,101.0750,101.0850,101.0600,101.0650,41710
2018-07-06 14:27:00,101.0700,101.0800,101.0500,101.0750,31260
2018-07-06 14:26:00,101.0800,101.0800,101.0700,101.0750,9701
2018-07-06 14:25:00,101.0800,101.0800,101.0550,101.0750,23950
2018-07-06 14:24:00,101.0750,101.0800,101.0700,101.0750,13466
2018-07-06 14:23:00,101.0800,101.0800,101.0700,101.0740,10264
2018-07-06 14:22:00,101.0700,101.0800,101.0632,101.0750,13050
2018-07-06 14:21:00,101.0700,101.0800,101.0600,101.0600,20402
